window_id,attack_type,is_attack,packet_count,byte_count,mean_pkt_size,syn_count,synack_count,fin_count,rst_count,ack_count,psh_count,icmp_count,udp_count,unique_src,unique_dst_ports,new_connections,syn_to_synack_ratio,iat_mean,iat_std,rf_pred,rf_score,lr_pred,if_pred,if_score,in_test,snort_detection,risk_raw,risk_score,risk_level,snort_only,ml_only,hybrid
28,BENIGN,0,5,533,106.6,1,1,0,0,4,2,0,0,2,2,1,1.0,0.0025,0.0026,0,0.1026375898308089,0,0,0.4313065855330485,0,0,0.1211,0.1211,LOW,0,0,0
29,BENIGN,0,4,204,51.0,0,0,2,0,3,0,1,0,3,2,0,0.0,0.0033,0.0033,0,0.092881345822107,1,1,0.8061829830185359,1,0,0.172,0.172,LOW,0,0,0
30,BENIGN,0,69,13603,197.14,8,8,14,0,61,24,0,0,2,9,8,1.0,0.0054,0.0071,0,0.0387545401544478,0,1,0.7862979552856808,0,0,0.1393,0.1393,LOW,0,0,0
31,BENIGN,0,9,1265,140.56,1,1,2,0,8,3,0,0,3,3,1,1.0,0.1243,0.3182,0,0.4523124529330912,1,1,0.697419574075266,0,0,0.3534,0.3534,LOW,0,0,0
32,BENIGN,0,4,375,93.75,0,0,2,0,4,1,0,0,2,2,0,0.0,0.006,0.0071,0,0.3441552019498997,0,1,0.6582600859654637,1,0,0.288,0.288,LOW,0,0,0
33,BENIGN,0,10,1579,157.9,1,1,2,0,9,4,0,0,2,2,1,1.0,0.0036,0.0036,0,0.00117035310752,0,0,0.03607462492273,0,0,0.0061,0.0061,LOW,0,0,0
34,BENIGN,0,10,1831,183.1,1,1,2,0,9,4,0,0,2,2,1,1.0,0.0036,0.0036,0,0.00117035310752,0,0,0.0341442141237648,0,0,0.0058,0.0058,LOW,0,0,0
35,BENIGN,0,8,684,85.5,1,1,2,0,7,2,0,0,2,2,1,1.0,0.0046,0.0066,0,0.0,0,0,0.0472837385841039,0,0,0.0071,0.0071,LOW,0,0,0
36,BENIGN,0,11,1167,106.09,1,1,2,0,9,4,1,0,3,2,1,1.0,0.004,0.0037,0,0.1196433868690798,1,0,0.4536857010505108,0,0,0.1339,0.1339,LOW,0,0,0
37,BENIGN,0,9,1762,195.78,1,1,2,0,8,3,0,0,2,2,1,1.0,0.004,0.005,0,0.0,0,0,0.0165067647641693,1,0,0.0025,0.0025,LOW,0,0,0
39,BENIGN,0,9,1796,199.56,1,1,2,0,8,3,0,0,2,2,1,1.0,0.004,0.005,0,0.0,0,0,0.0174474152991566,0,0,0.0026,0.0026,LOW,0,0,0
40,BENIGN,0,9,959,106.56,1,1,2,0,8,3,0,0,2,2,1,1.0,0.004,0.005,0,0.0,0,0,0.0229563276656475,0,0,0.0034,0.0034,LOW,0,0,0
41,BENIGN,0,9,935,103.89,1,1,2,0,7,2,1,0,2,2,1,1.0,0.005,0.0063,0,0.0,0,0,0.2151371747103011,0,0,0.0323,0.0323,LOW,0,0,0
42,BENIGN,0,10,1814,181.4,1,1,2,0,9,4,0,0,2,2,1,1.0,0.0036,0.0036,0,0.00117035310752,0,0,0.0344600978577418,0,0,0.0058,0.0058,LOW,0,0,0
43,BENIGN,0,10,2739,273.9,1,1,2,0,9,4,0,0,2,2,1,1.0,0.0036,0.0036,0,0.00117035310752,0,0,0.1003628812695531,1,0,0.0157,0.0157,LOW,0,0,0
44,BENIGN,0,10,1934,193.4,1,1,2,0,8,3,1,0,2,2,1,1.0,0.0044,0.0049,0,0.0050442652667546,0,0,0.221777792585944,0,0,0.036,0.036,LOW,0,0,0
45,BENIGN,0,8,937,117.12,1,1,2,0,7,2,0,0,2,2,1,1.0,0.0046,0.0066,0,0.0,0,0,0.0141174288107334,0,0,0.0021,0.0021,LOW,0,0,0
46,BENIGN,0,8,1012,126.5,1,1,2,0,7,2,0,0,2,2,1,1.0,0.0046,0.0066,0,0.0,0,0,0.0149723024168275,0,0,0.0022,0.0022,LOW,0,0,0
48,BENIGN,0,10,2077,207.7,1,1,2,0,9,4,0,0,2,2,1,1.0,0.0036,0.0036,0,0.00117035310752,0,0,0.0446346283183469,0,0,0.0073,0.0073,LOW,0,0,0
49,BENIGN,0,10,2935,293.5,1,1,2,0,9,4,0,0,2,2,1,1.0,0.0036,0.0036,0,0.00117035310752,0,0,0.135768528199915,0,0,0.021,0.021,LOW,0,0,0
50,BENIGN,0,10,1792,179.2,1,1,2,0,9,4,0,0,2,2,1,1.0,0.0036,0.0036,0,0.00117035310752,0,0,0.0340967259013702,1,0,0.0058,0.0058,LOW,0,0,0
52,BENIGN,0,8,1007,125.88,1,1,2,0,7,2,0,0,2,2,1,1.0,0.0046,0.0066,0,0.0,0,0,0.0150579889051112,1,0,0.0023,0.0023,LOW,0,0,0
53,BENIGN,0,8,1187,148.38,1,1,2,0,7,2,0,0,2,2,1,1.0,0.0046,0.0066,0,0.0,0,0,0.0247543656364831,0,0,0.0037,0.0037,LOW,0,0,0
54,BENIGN,0,8,906,113.25,1,1,2,0,7,2,0,0,2,2,1,1.0,0.0046,0.0066,0,0.0,0,0,0.0159755390315393,0,0,0.0024,0.0024,LOW,0,0,0
55,BENIGN,0,9,1074,119.33,1,1,2,0,7,2,1,0,2,2,1,1.0,0.005,0.0063,0,0.0,0,0,0.2208545002313324,0,0,0.0331,0.0331,LOW,0,0,0
56,BENIGN,0,8,1106,138.25,1,1,2,0,7,2,0,0,2,2,1,1.0,0.0046,0.0066,0,0.0,0,0,0.0196132024391648,0,0,0.0029,0.0029,LOW,0,0,0
57,BENIGN,0,10,2829,282.9,1,1,2,0,9,4,0,0,2,2,1,1.0,0.0036,0.0036,0,0.00117035310752,0,0,0.118499120540295,1,0,0.0184,0.0184,LOW,0,0,0
58,BENIGN,0,9,1538,170.89,1,1,2,0,8,3,0,0,2,2,1,1.0,0.004,0.005,0,0.0,0,0,0.0059173927786488,1,0,0.0009,0.0009,LOW,0,0,0
59,BENIGN,0,11,2908,264.36,1,1,2,0,9,4,1,0,2,2,1,1.0,0.004,0.0037,0,0.0,0,0,0.3488916891872011,0,0,0.0523,0.0523,LOW,0,0,0
60,BENIGN,0,9,1245,138.33,1,1,2,0,8,3,0,0,2,2,1,1.0,0.004,0.005,0,0.0,0,0,0.0047574670952279,0,0,0.0007,0.0007,LOW,0,0,0
61,BENIGN,0,32,5948,185.88,4,4,6,0,28,11,0,0,2,5,4,1.0,0.0044,0.0057,0,0.1145210131503414,0,1,0.7692380873956117,1,0,0.1784,0.1784,LOW,0,0,0
62,BENIGN,0,32,6440,201.25,3,3,8,0,29,11,0,0,2,5,3,1.0,0.0054,0.0066,0,0.0341062295894115,0,1,0.7439062609676098,0,0,0.1303,0.1303,LOW,0,0,0
63,BENIGN,0,8,1045,130.62,1,1,2,0,7,2,0,0,2,2,1,1.0,0.0046,0.0066,0,0.0,0,0,0.0141048147614374,0,0,0.0021,0.0021,LOW,0,0,0
64,BENIGN,0,9,2003,222.56,1,1,2,0,8,3,0,0,2,2,1,1.0,0.004,0.005,0,0.0,0,0,0.0355799262271199,1,0,0.0053,0.0053,LOW,0,0,0
65,BENIGN,0,8,1139,142.38,1,1,2,0,7,2,0,0,2,2,1,1.0,0.0046,0.0066,0,0.0,0,0,0.0202712617438769,0,0,0.003,0.003,LOW,0,0,0
67,BENIGN,0,10,2497,249.7,1,1,2,0,9,4,0,0,2,2,1,1.0,0.0036,0.0036,0,0.00117035310752,0,0,0.060241824307463,0,0,0.0097,0.0097,LOW,0,0,0
68,BENIGN,0,64,12133,189.58,7,7,14,0,56,21,1,0,3,8,7,1.0,0.0053,0.0083,0,0.4064024035557227,1,1,0.9006040482864175,1,0,0.3586,0.4,MEDIUM,0,0,0
70,BENIGN,0,8,998,124.75,1,1,2,0,7,2,0,0,2,2,1,1.0,0.0046,0.0066,0,0.0,0,0,0.0150579889051112,0,0,0.0023,0.0023,LOW,0,0,0
71,BENIGN,0,9,1662,184.67,1,1,2,0,8,3,0,0,2,2,1,1.0,0.004,0.005,0,0.0,0,0,0.0115614153341328,1,0,0.0017,0.0017,LOW,0,0,0
72,BENIGN,0,10,2719,271.9,1,1,2,0,9,4,0,0,2,2,1,1.0,0.0036,0.0036,0,0.00117035310752,0,0,0.0957590091841487,1,0,0.015,0.015,LOW,0,0,0
73,BENIGN,0,10,2480,248.0,1,1,2,0,9,4,0,0,2,2,1,1.0,0.0036,0.0036,0,0.00117035310752,0,0,0.060241824307463,0,0,0.0097,0.0097,LOW,0,0,0
74,BENIGN,0,10,1654,165.4,1,1,2,0,8,3,1,0,3,2,1,1.0,0.0044,0.0049,0,0.0187747560529524,1,0,0.4074319745923825,0,0,0.0714,0.0714,LOW,0,0,0
76,BENIGN,0,10,1220,122.0,1,1,2,0,9,4,0,0,2,2,1,1.0,0.0036,0.0036,0,0.0010008741258741,0,0,0.064711479181332,1,0,0.0103,0.0103,LOW,0,0,0
77,BENIGN,0,8,619,77.38,1,1,2,0,7,2,0,0,2,2,1,1.0,0.0046,0.0066,0,0.0076231823432356,0,0,0.0683012526792135,0,0,0.0144,0.0144,LOW,0,0,0
78,BENIGN,0,10,2702,270.2,1,1,2,0,9,4,0,0,2,2,1,1.0,0.0036,0.0036,0,0.00117035310752,0,0,0.087119226040561,1,0,0.0137,0.0137,LOW,0,0,0
79,BENIGN,0,10,2854,285.4,1,1,2,0,9,4,0,0,2,2,1,1.0,0.0036,0.0036,0,0.00117035310752,0,0,0.1142794433329596,0,0,0.0178,0.0178,LOW,0,0,0
81,BENIGN,0,8,1236,154.5,1,1,2,0,7,2,0,0,2,2,1,1.0,0.0046,0.0066,0,0.0,0,0,0.0371259418836718,1,0,0.0056,0.0056,LOW,0,0,0
82,BENIGN,0,10,2639,263.9,1,1,2,0,9,4,0,0,2,2,1,1.0,0.0036,0.0036,0,0.00117035310752,0,0,0.0802684877273577,0,0,0.0127,0.0127,LOW,0,0,0
83,BENIGN,0,8,687,85.88,1,1,2,0,7,2,0,0,2,2,1,1.0,0.0046,0.0066,0,0.0,0,0,0.0468433510956345,0,0,0.007,0.007,LOW,0,0,0
84,BENIGN,0,8,1187,148.38,1,1,2,0,7,2,0,0,2,2,1,1.0,0.0046,0.0066,0,0.0,0,0,0.0247543656364831,0,0,0.0037,0.0037,LOW,0,0,0
85,BENIGN,0,8,1047,130.88,1,1,2,0,7,2,0,0,2,2,1,1.0,0.0046,0.0066,0,0.0,0,0,0.0148190898342473,1,0,0.0022,0.0022,LOW,0,0,0
87,BENIGN,0,8,862,107.75,1,1,2,0,7,2,0,0,2,2,1,1.0,0.0046,0.0066,0,0.0,0,0,0.0222153307637131,0,0,0.0033,0.0033,LOW,0,0,0
88,BENIGN,0,16,1463,91.44,2,2,4,0,14,4,0,0,3,3,2,1.0,0.043,0.144,0,0.4973561406366044,1,1,0.6142712993980478,1,0,0.3657,0.3657,LOW,0,0,0
89,BENIGN,0,9,2008,223.11,1,1,2,0,8,3,0,0,2,2,1,1.0,0.004,0.005,0,0.0,0,0,0.0352553219019696,0,0,0.0053,0.0053,LOW,0,0,0
90,BENIGN,0,8,948,118.5,1,1,2,0,7,2,0,0,2,2,1,1.0,0.0046,0.0066,0,0.0,0,0,0.0147513822020393,0,0,0.0022,0.0022,LOW,0,0,0
92,BENIGN,0,8,977,122.12,1,1,2,0,7,2,0,0,2,2,1,1.0,0.0046,0.0066,0,0.0,0,0,0.0158149552982643,0,0,0.0024,0.0024,LOW,0,0,0
94,BENIGN,0,44,7936,180.36,5,5,10,0,39,14,0,0,2,6,5,1.0,0.0206,0.0989,0,0.12001932723788,0,1,0.8331565194305818,0,0,0.191,0.191,LOW,0,0,0
95,BENIGN,0,45,8691,193.13,5,5,10,0,40,15,0,0,2,6,5,1.0,0.0177,0.0804,0,0.1377922659130511,0,1,0.8354247272009019,1,0,0.2011,0.2011,LOW,0,0,0
97,BENIGN,0,9,1491,165.67,1,1,2,0,8,3,0,0,2,2,1,1.0,0.004,0.005,0,0.0,0,0,0.0022199658781788,0,0,0.0003,0.0003,LOW,0,0,0
98,BENIGN,0,10,2794,279.4,1,1,2,0,9,4,0,0,2,2,1,1.0,0.0036,0.0036,0,0.00117035310752,0,0,0.1188857195577533,0,0,0.0185,0.0185,LOW,0,0,0
99,BENIGN,0,9,1499,166.56,1,1,2,0,8,3,0,0,2,2,1,1.0,0.004,0.005,0,0.0,0,0,0.0022199658781788,1,0,0.0003,0.0003,LOW,0,0,0
101,BENIGN,0,82,15554,189.68,9,9,18,0,73,28,0,0,2,10,9,1.0,0.0051,0.0073,0,0.0050417944777225,0,1,0.7958871944730047,0,0,0.1222,0.1222,LOW,0,0,0
102,BENIGN,0,10,2406,240.6,1,1,2,0,9,4,0,0,2,2,1,1.0,0.0036,0.0036,0,0.00117035310752,0,0,0.0539007175156713,1,0,0.0087,0.0087,LOW,0,0,0
103,BENIGN,0,9,1921,213.44,1,1,2,0,8,3,0,0,2,2,1,1.0,0.004,0.005,0,0.0,0,0,0.0291786662676813,0,0,0.0044,0.0044,LOW,0,0,0
104,BENIGN,0,8,1131,141.38,1,1,2,0,7,2,0,0,2,2,1,1.0,0.0046,0.0066,0,0.0,0,0,0.0210870563089449,1,0,0.0032,0.0032,LOW,0,0,0
106,BENIGN,0,8,827,103.38,1,1,2,0,7,2,0,0,2,2,1,1.0,0.0046,0.0066,0,0.0,0,0,0.0252359657759287,1,0,0.0038,0.0038,LOW,0,0,0
107,BENIGN,0,9,1917,213.0,1,1,2,0,8,3,0,0,2,2,1,1.0,0.004,0.005,0,0.0,0,0,0.0302775571145639,0,0,0.0045,0.0045,LOW,0,0,0
109,BENIGN,0,9,964,107.11,1,1,2,0,8,3,0,0,2,2,1,1.0,0.004,0.005,0,0.0,0,0,0.0229563276656475,0,0,0.0034,0.0034,LOW,0,0,0
110,BENIGN,0,9,1195,132.78,1,1,2,0,8,3,0,0,2,2,1,1.0,0.004,0.005,0,0.0,0,0,0.0067273702573048,0,0,0.001,0.001,LOW,0,0,0
111,BENIGN,0,19,4272,224.84,2,2,4,0,17,7,0,0,2,3,2,1.0,0.0397,0.1482,0,0.0187107903018415,0,0,0.4802318202272531,0,0,0.0823,0.0823,LOW,0,0,0
112,BENIGN,0,10,2808,280.8,1,1,2,0,9,4,0,0,2,2,1,1.0,0.0036,0.0036,0,0.00117035310752,0,0,0.1195493037832604,0,0,0.0186,0.0186,LOW,0,0,0
113,BENIGN,0,9,1876,208.44,1,1,2,0,8,3,0,0,2,2,1,1.0,0.004,0.005,0,0.0,0,0,0.0245399835897108,1,0,0.0037,0.0037,LOW,0,0,0
115,BENIGN,0,21,3903,185.86,2,2,4,0,18,8,1,0,2,3,2,1.0,0.0374,0.1467,0,0.0261190388877267,0,1,0.6454920111606303,0,0,0.1112,0.1112,LOW,0,0,0
116,BENIGN,0,9,1270,141.11,1,1,2,0,8,3,0,0,2,2,1,1.0,0.004,0.005,0,0.0,0,0,0.0034399887396295,0,0,0.0005,0.0005,LOW,0,0,0
118,BENIGN,0,9,1110,123.33,1,1,2,0,8,3,0,0,2,2,1,1.0,0.004,0.005,0,0.0,0,0,0.0123808855332909,0,0,0.0019,0.0019,LOW,0,0,0
119,BENIGN,0,9,1995,221.67,1,1,2,0,8,3,0,0,2,2,1,1.0,0.004,0.005,0,0.0,0,0,0.0332025553770998,1,0,0.005,0.005,LOW,0,0,0
120,BENIGN,0,10,1190,119.0,1,1,2,0,8,3,1,0,2,2,1,1.0,0.0044,0.0049,0,0.0,0,0,0.1945438621407424,0,0,0.0292,0.0292,LOW,0,0,0
122,BENIGN,0,8,748,93.5,1,1,2,0,7,2,0,0,2,2,1,1.0,0.0046,0.0066,0,0.0,0,0,0.0290856779790635,0,0,0.0044,0.0044,LOW,0,0,0
124,BENIGN,0,10,1841,184.1,1,1,2,0,9,4,0,0,2,2,1,1.0,0.0036,0.0036,0,0.00117035310752,0,0,0.0337565553230037,1,0,0.0057,0.0057,LOW,0,0,0
125,BENIGN,0,10,1847,184.7,1,1,2,0,9,4,0,0,2,2,1,1.0,0.0036,0.0036,0,0.00117035310752,0,0,0.0340920669263644,1,0,0.0058,0.0058,LOW,0,0,0
126,BENIGN,0,9,1191,132.33,1,1,2,0,7,2,1,0,2,2,1,1.0,0.005,0.0063,0,0.0,0,0,0.2277268531231933,0,0,0.0342,0.0342,LOW,0,0,0
128,BENIGN,0,10,1680,168.0,1,1,2,0,9,4,0,0,2,2,1,1.0,0.0036,0.0036,0,0.00117035310752,0,0,0.0339663594980927,0,0,0.0057,0.0057,LOW,0,0,0
129,BENIGN,0,8,949,118.62,1,1,2,0,7,2,0,0,2,2,1,1.0,0.0046,0.0066,0,0.0,0,0,0.0147513822020393,0,0,0.0022,0.0022,LOW,0,0,0
130,BENIGN,0,8,801,100.12,1,1,2,0,7,2,0,0,2,2,1,1.0,0.0046,0.0066,0,0.0,0,0,0.0289257129266015,0,0,0.0043,0.0043,LOW,0,0,0
131,BENIGN,0,9,1431,159.0,1,1,2,0,8,3,0,0,2,2,1,1.0,0.004,0.005,0,0.0,0,0,0.0022766713823464,0,0,0.0003,0.0003,LOW,0,0,0
132,BENIGN,0,8,928,116.0,1,1,2,0,7,2,0,0,2,2,1,1.0,0.0046,0.0066,0,0.0,0,0,0.0141174288107334,0,0,0.0021,0.0021,LOW,0,0,0
133,BENIGN,0,8,1266,158.25,1,1,2,0,7,2,0,0,2,2,1,1.0,0.0046,0.0066,0,0.0,0,0,0.048168209419175,0,0,0.0072,0.0072,LOW,0,0,0
134,BENIGN,0,9,1504,167.11,1,1,2,0,8,3,0,0,2,2,1,1.0,0.004,0.005,0,0.0,0,0,0.002256370194202,0,0,0.0003,0.0003,LOW,0,0,0
136,BENIGN,0,10,1747,174.7,1,1,2,0,8,3,1,0,3,2,1,1.0,0.0044,0.0049,0,0.0223472989546685,1,0,0.4166660406030632,0,0,0.0748,0.0748,LOW,0,0,0
137,BENIGN,0,8,760,95.0,1,1,2,0,7,2,0,0,2,2,1,1.0,0.0046,0.0066,0,0.0,0,0,0.0282351312625172,0,0,0.0042,0.0042,LOW,0,0,0
139,BENIGN,0,9,1000,111.11,1,1,2,0,8,3,0,0,2,2,1,1.0,0.004,0.005,0,0.0,0,0,0.0209240295556314,0,0,0.0031,0.0031,LOW,0,0,0
140,BENIGN,0,8,807,100.88,1,1,2,0,7,2,0,0,2,2,1,1.0,0.0046,0.0066,0,0.0,0,0,0.0276260860667844,1,0,0.0041,0.0041,LOW,0,0,0
141,BENIGN,0,9,1274,141.56,1,1,2,0,8,3,0,0,2,2,1,1.0,0.004,0.005,0,0.0,0,0,0.0051476292509437,0,0,0.0008,0.0008,LOW,0,0,0
142,BENIGN,0,9,1059,117.67,1,1,2,0,8,3,0,0,2,2,1,1.0,0.004,0.005,0,0.0,0,0,0.0163654994889628,0,0,0.0025,0.0025,LOW,0,0,0
143,BENIGN,0,10,998,99.8,1,1,2,0,8,3,1,0,2,2,1,1.0,0.0044,0.0049,0,0.0090945107553277,0,0,0.2172787608121944,0,0,0.0376,0.0376,LOW,0,0,0
145,BENIGN,0,9,1939,215.44,1,1,2,0,8,3,0,0,2,2,1,1.0,0.004,0.005,0,0.0,0,0,0.0294454482214424,1,0,0.0044,0.0044,LOW,0,0,0
146,BENIGN,0,20,4253,212.65,2,2,4,0,18,8,0,0,2,3,2,1.0,0.0355,0.1354,0,0.0187734640638951,0,0,0.5218223339739108,1,0,0.0886,0.0886,LOW,0,0,0
148,BENIGN,0,10,2232,223.2,1,1,2,0,9,4,0,0,2,2,1,1.0,0.0036,0.0036,0,0.00117035310752,0,0,0.0465953719696047,0,0,0.0076,0.0076,LOW,0,0,0
149,BENIGN,0,9,1820,202.22,1,1,2,0,8,3,0,0,2,2,1,1.0,0.004,0.005,0,0.0,0,0,0.0183117581583713,0,0,0.0027,0.0027,LOW,0,0,0
151,SYN_SCAN,1,130,7037,54.13,67,1,2,54,63,4,0,0,3,122,67,67.0,0.0075,0.014,1,0.9772464050621156,1,1,0.9132144002244026,1,0,0.6745,0.6745,MEDIUM,0,1,1
152,SYN_SCAN,1,156,7166,45.94,84,1,2,64,72,3,0,0,3,149,84,84.0,0.0064,0.0055,1,1.0,1,1,0.9158604382668674,0,0,0.6874,0.6874,MEDIUM,0,1,1
153,SYN_SCAN,1,157,7228,46.04,84,1,2,64,73,4,0,0,3,149,84,84.0,0.0063,0.0055,1,0.9982603627584204,1,1,0.9152884851312738,0,0,0.6863,0.6863,MEDIUM,0,1,1
154,SYN_SCAN,1,42,3009,71.64,19,1,2,15,23,3,0,0,3,35,19,19.0,0.0174,0.0727,1,0.9814865650301112,1,1,0.8691753538746445,1,0,0.6702,0.6702,MEDIUM,0,1,1
156,BENIGN,0,9,1336,148.44,1,1,2,0,8,3,0,0,2,2,1,1.0,0.004,0.005,0,0.0,0,0,0.0022404060757513,0,0,0.0003,0.0003,LOW,0,0,0
157,BENIGN,0,10,1337,133.7,1,1,2,0,8,3,1,0,3,2,1,1.0,0.0044,0.0049,0,0.0129349675481174,1,0,0.4151868600943704,0,0,0.0694,0.0694,LOW,0,0,0
159,BENIGN,0,13,2158,166.0,2,2,2,0,11,4,0,0,2,3,2,1.0,0.069,0.2164,0,0.0550099186093151,0,1,0.591190076696144,0,0,0.1189,0.1189,LOW,0,0,0
160,BENIGN,0,18,3613,200.72,2,2,4,0,16,6,0,0,2,4,2,1.0,0.0585,0.2161,0,0.024910122938219,0,1,0.5602124157986552,0,0,0.0977,0.0977,LOW,0,0,0
161,BENIGN,0,77,15228,197.77,8,8,18,0,69,26,0,0,2,10,8,1.0,0.0125,0.0632,0,0.0464152251669811,0,1,0.8439621390354128,0,0,0.1521,0.1521,LOW,0,0,0
162,BENIGN,0,10,2002,200.2,1,1,2,0,9,4,0,0,2,2,1,1.0,0.0036,0.0036,0,0.00117035310752,0,0,0.0385068940315905,0,0,0.0064,0.0064,LOW,0,0,0
163,BENIGN,0,10,2888,288.8,1,1,2,0,9,4,0,0,2,2,1,1.0,0.0036,0.0036,0,0.00117035310752,0,0,0.1242098328308194,0,0,0.0193,0.0193,LOW,0,0,0
164,BENIGN,0,10,1777,177.7,1,1,2,0,9,4,0,0,2,2,1,1.0,0.0036,0.0036,0,0.00117035310752,0,0,0.032879481164342,0,0,0.0056,0.0056,LOW,0,0,0
165,BENIGN,0,8,1070,133.75,1,1,2,0,7,2,0,0,2,2,1,1.0,0.0046,0.0066,0,0.0,0,0,0.0173014822208735,0,0,0.0026,0.0026,LOW,0,0,0
166,BENIGN,0,9,1215,135.0,1,1,2,0,8,3,0,0,2,2,1,1.0,0.004,0.005,0,0.0,0,0,0.0058466010175687,1,0,0.0009,0.0009,LOW,0,0,0
168,BENIGN,0,89,16110,181.01,10,10,20,0,79,29,0,0,2,11,10,1.0,0.0055,0.008,0,0.0136865427080709,0,1,0.8630139185121072,1,0,0.137,0.4,MEDIUM,0,0,0
169,BENIGN,0,9,1094,121.56,1,1,2,0,7,2,1,0,2,2,1,1.0,0.005,0.0063,0,0.0,0,0,0.2198795280451713,1,0,0.033,0.033,LOW,0,0,0
