window_id,packet_count,byte_count,mean_pkt_size,syn_count,synack_count,fin_count,rst_count,ack_count,psh_count,icmp_count,udp_count,unique_src,unique_dst_ports,new_connections,syn_to_synack_ratio,iat_mean,iat_std,attack_type,is_attack
95,45,8691,193.13,5,5,10,0,40,15,0,0,2,6,5,1.0,0.0177,0.0804,BENIGN,0
97,9,1491,165.67,1,1,2,0,8,3,0,0,2,2,1,1.0,0.004,0.005,BENIGN,0
98,10,2794,279.4,1,1,2,0,9,4,0,0,2,2,1,1.0,0.0036,0.0036,BENIGN,0
99,9,1499,166.56,1,1,2,0,8,3,0,0,2,2,1,1.0,0.004,0.005,BENIGN,0
101,82,15554,189.68,9,9,18,0,73,28,0,0,2,10,9,1.0,0.0051,0.0073,BENIGN,0
102,10,2406,240.6,1,1,2,0,9,4,0,0,2,2,1,1.0,0.0036,0.0036,BENIGN,0
103,9,1921,213.44,1,1,2,0,8,3,0,0,2,2,1,1.0,0.004,0.005,BENIGN,0
104,8,1131,141.38,1,1,2,0,7,2,0,0,2,2,1,1.0,0.0046,0.0066,BENIGN,0
106,8,827,103.38,1,1,2,0,7,2,0,0,2,2,1,1.0,0.0046,0.0066,BENIGN,0
107,9,1917,213.0,1,1,2,0,8,3,0,0,2,2,1,1.0,0.004,0.005,BENIGN,0
109,9,964,107.11,1,1,2,0,8,3,0,0,2,2,1,1.0,0.004,0.005,BENIGN,0
110,9,1195,132.78,1,1,2,0,8,3,0,0,2,2,1,1.0,0.004,0.005,BENIGN,0
111,19,4272,224.84,2,2,4,0,17,7,0,0,2,3,2,1.0,0.0397,0.1482,BENIGN,0
112,10,2808,280.8,1,1,2,0,9,4,0,0,2,2,1,1.0,0.0036,0.0036,BENIGN,0
113,9,1876,208.44,1,1,2,0,8,3,0,0,2,2,1,1.0,0.004,0.005,BENIGN,0
115,21,3903,185.86,2,2,4,0,18,8,1,0,2,3,2,1.0,0.0374,0.1467,BENIGN,0
116,9,1270,141.11,1,1,2,0,8,3,0,0,2,2,1,1.0,0.004,0.005,BENIGN,0
118,9,1110,123.33,1,1,2,0,8,3,0,0,2,2,1,1.0,0.004,0.005,BENIGN,0
119,9,1995,221.67,1,1,2,0,8,3,0,0,2,2,1,1.0,0.004,0.005,BENIGN,0
120,10,1190,119.0,1,1,2,0,8,3,1,0,2,2,1,1.0,0.0044,0.0049,BENIGN,0
122,8,748,93.5,1,1,2,0,7,2,0,0,2,2,1,1.0,0.0046,0.0066,BENIGN,0
124,10,1841,184.1,1,1,2,0,9,4,0,0,2,2,1,1.0,0.0036,0.0036,BENIGN,0
125,10,1847,184.7,1,1,2,0,9,4,0,0,2,2,1,1.0,0.0036,0.0036,BENIGN,0
126,9,1191,132.33,1,1,2,0,7,2,1,0,2,2,1,1.0,0.005,0.0063,BENIGN,0
128,10,1680,168.0,1,1,2,0,9,4,0,0,2,2,1,1.0,0.0036,0.0036,BENIGN,0
129,8,949,118.62,1,1,2,0,7,2,0,0,2,2,1,1.0,0.0046,0.0066,BENIGN,0
130,8,801,100.12,1,1,2,0,7,2,0,0,2,2,1,1.0,0.0046,0.0066,BENIGN,0
131,9,1431,159.0,1,1,2,0,8,3,0,0,2,2,1,1.0,0.004,0.005,BENIGN,0
132,8,928,116.0,1,1,2,0,7,2,0,0,2,2,1,1.0,0.0046,0.0066,BENIGN,0
133,8,1266,158.25,1,1,2,0,7,2,0,0,2,2,1,1.0,0.0046,0.0066,BENIGN,0
134,9,1504,167.11,1,1,2,0,8,3,0,0,2,2,1,1.0,0.004,0.005,BENIGN,0
136,10,1747,174.7,1,1,2,0,8,3,1,0,3,2,1,1.0,0.0044,0.0049,BENIGN,0
137,8,760,95.0,1,1,2,0,7,2,0,0,2,2,1,1.0,0.0046,0.0066,BENIGN,0
139,9,1000,111.11,1,1,2,0,8,3,0,0,2,2,1,1.0,0.004,0.005,BENIGN,0
140,8,807,100.88,1,1,2,0,7,2,0,0,2,2,1,1.0,0.0046,0.0066,BENIGN,0
141,9,1274,141.56,1,1,2,0,8,3,0,0,2,2,1,1.0,0.004,0.005,BENIGN,0
142,9,1059,117.67,1,1,2,0,8,3,0,0,2,2,1,1.0,0.004,0.005,BENIGN,0
143,10,998,99.8,1,1,2,0,8,3,1,0,2,2,1,1.0,0.0044,0.0049,BENIGN,0
145,9,1939,215.44,1,1,2,0,8,3,0,0,2,2,1,1.0,0.004,0.005,BENIGN,0
146,20,4253,212.65,2,2,4,0,18,8,0,0,2,3,2,1.0,0.0355,0.1354,BENIGN,0
148,10,2232,223.2,1,1,2,0,9,4,0,0,2,2,1,1.0,0.0036,0.0036,BENIGN,0
149,9,1820,202.22,1,1,2,0,8,3,0,0,2,2,1,1.0,0.004,0.005,BENIGN,0
151,130,7037,54.13,67,1,2,54,63,4,0,0,3,122,67,67.0,0.0075,0.014,SYN_SCAN,1
152,156,7166,45.94,84,1,2,64,72,3,0,0,3,149,84,84.0,0.0064,0.0055,SYN_SCAN,1
153,157,7228,46.04,84,1,2,64,73,4,0,0,3,149,84,84.0,0.0063,0.0055,SYN_SCAN,1
154,42,3009,71.64,19,1,2,15,23,3,0,0,3,35,19,19.0,0.0174,0.0727,SYN_SCAN,1
156,9,1336,148.44,1,1,2,0,8,3,0,0,2,2,1,1.0,0.004,0.005,BENIGN,0
157,10,1337,133.7,1,1,2,0,8,3,1,0,3,2,1,1.0,0.0044,0.0049,BENIGN,0
159,13,2158,166.0,2,2,2,0,11,4,0,0,2,3,2,1.0,0.069,0.2164,BENIGN,0
160,18,3613,200.72,2,2,4,0,16,6,0,0,2,4,2,1.0,0.0585,0.2161,BENIGN,0
161,77,15228,197.77,8,8,18,0,69,26,0,0,2,10,8,1.0,0.0125,0.0632,BENIGN,0
162,10,2002,200.2,1,1,2,0,9,4,0,0,2,2,1,1.0,0.0036,0.0036,BENIGN,0
163,10,2888,288.8,1,1,2,0,9,4,0,0,2,2,1,1.0,0.0036,0.0036,BENIGN,0
164,10,1777,177.7,1,1,2,0,9,4,0,0,2,2,1,1.0,0.0036,0.0036,BENIGN,0
165,8,1070,133.75,1,1,2,0,7,2,0,0,2,2,1,1.0,0.0046,0.0066,BENIGN,0
166,9,1215,135.0,1,1,2,0,8,3,0,0,2,2,1,1.0,0.004,0.005,BENIGN,0
168,89,16110,181.01,10,10,20,0,79,29,0,0,2,11,10,1.0,0.0055,0.008,BENIGN,0
169,9,1094,121.56,1,1,2,0,7,2,1,0,2,2,1,1.0,0.005,0.0063,BENIGN,0
170,8,713,89.12,1,1,2,0,7,2,0,0,2,2,1,1.0,0.0046,0.0066,BENIGN,0
172,16,3992,249.5,2,2,2,0,14,7,0,0,3,3,2,1.0,0.0492,0.172,BENIGN,0
173,11,896,81.45,1,1,4,0,10,2,0,0,2,3,1,1.0,0.0652,0.1844,BENIGN,0
174,9,1492,165.78,1,1,2,0,8,3,0,0,2,2,1,1.0,0.004,0.005,BENIGN,0
175,8,764,95.5,1,1,2,0,7,2,0,0,2,2,1,1.0,0.0046,0.0066,BENIGN,0
177,8,790,98.75,1,1,2,0,7,2,0,0,2,2,1,1.0,0.0046,0.0066,BENIGN,0
178,8,851,106.38,1,1,2,0,7,2,0,0,2,2,1,1.0,0.0046,0.0066,BENIGN,0
179,8,1052,131.5,1,1,2,0,7,2,0,0,2,2,1,1.0,0.0046,0.0066,BENIGN,0
180,81,15204,187.7,9,9,18,0,72,27,0,0,2,10,9,1.0,0.0048,0.0069,BENIGN,0
181,8,974,121.75,1,1,2,0,7,2,0,0,2,2,1,1.0,0.0046,0.0066,BENIGN,0
182,8,854,106.75,1,1,2,0,7,2,0,0,2,2,1,1.0,0.0046,0.0066,BENIGN,0
183,10,1925,192.5,1,1,2,0,9,4,0,0,2,2,1,1.0,0.0036,0.0036,BENIGN,0
184,9,884,98.22,1,1,2,0,7,2,1,0,2,2,1,1.0,0.005,0.0063,BENIGN,0
185,8,810,101.25,1,1,2,0,7,2,0,0,2,2,1,1.0,0.0046,0.0066,BENIGN,0
186,9,2035,226.11,1,1,2,0,8,3,0,0,2,2,1,1.0,0.004,0.005,BENIGN,0
188,9,1346,149.56,1,1,2,0,8,3,0,0,2,2,1,1.0,0.004,0.005,BENIGN,0
189,8,1289,161.12,1,1,2,0,7,2,0,0,2,2,1,1.0,0.0046,0.0066,BENIGN,0
190,10,2162,216.2,1,1,2,0,9,4,0,0,2,2,1,1.0,0.0036,0.0036,BENIGN,0
191,10,1584,158.4,1,1,2,0,9,4,0,0,2,2,1,1.0,0.0036,0.0036,BENIGN,0
192,18,3039,168.83,2,2,4,0,16,6,0,0,3,3,2,1.0,0.038,0.1359,BENIGN,0
193,10,2714,271.4,1,1,2,0,9,4,0,0,2,2,1,1.0,0.0036,0.0036,BENIGN,0
194,10,2391,239.1,1,1,2,0,9,4,0,0,2,2,1,1.0,0.0036,0.0036,BENIGN,0
196,10,1598,159.8,1,1,2,0,9,4,0,0,2,2,1,1.0,0.0036,0.0036,BENIGN,0
197,8,929,116.12,1,1,2,0,7,2,0,0,2,2,1,1.0,0.0046,0.0066,BENIGN,0
198,99,18431,186.17,11,11,22,0,88,33,0,0,2,12,11,1.0,0.0046,0.0066,BENIGN,0
199,20,4385,219.25,2,2,4,0,17,7,1,0,3,3,2,1.0,0.0471,0.1831,BENIGN,0
201,9,1220,135.56,1,1,2,0,7,2,1,0,2,2,1,1.0,0.005,0.0063,BENIGN,0
202,10,1981,198.1,1,1,2,0,9,4,0,0,2,2,1,1.0,0.0036,0.0036,BENIGN,0
203,73,12781,175.08,9,8,16,0,64,24,0,0,2,9,9,1.125,0.0066,0.0094,BENIGN,0
204,27,4788,177.33,2,3,6,0,25,10,0,0,2,4,2,0.667,0.0309,0.1272,BENIGN,0
206,10,1751,175.1,1,1,2,0,9,4,0,0,2,2,1,1.0,0.0036,0.0036,BENIGN,0
207,8,881,110.12,1,1,2,0,7,2,0,0,2,2,1,1.0,0.0046,0.0066,BENIGN,0
208,18,2999,166.61,2,2,4,0,16,6,0,0,3,3,2,1.0,0.0422,0.153,BENIGN,0
209,8,740,92.5,1,1,2,0,7,2,0,0,2,2,1,1.0,0.0046,0.0066,BENIGN,0
210,9,1132,125.78,1,1,2,0,8,3,0,0,2,2,1,1.0,0.004,0.005,BENIGN,0
212,10,1908,190.8,1,1,2,0,9,4,0,0,2,2,1,1.0,0.0036,0.0036,BENIGN,0
213,10,1766,176.6,1,1,2,0,9,4,0,0,2,2,1,1.0,0.0036,0.0036,BENIGN,0
215,8,636,79.5,1,1,2,0,7,2,0,0,2,2,1,1.0,0.0046,0.0066,BENIGN,0
216,8,878,109.75,1,1,2,0,7,2,0,0,2,2,1,1.0,0.0046,0.0066,BENIGN,0
218,9,948,105.33,1,1,2,0,8,3,0,0,2,2,1,1.0,0.004,0.005,BENIGN,0
219,8,1037,129.62,1,1,2,0,7,2,0,0,2,2,1,1.0,0.0046,0.0066,BENIGN,0
220,11,2928,266.18,1,1,2,0,9,4,1,0,2,2,1,1.0,0.004,0.0037,BENIGN,0
221,9,1066,118.44,1,1,2,0,8,3,0,0,2,2,1,1.0,0.004,0.005,BENIGN,0
222,10,2256,225.6,1,1,2,0,9,4,0,0,2,2,1,1.0,0.0036,0.0036,BENIGN,0
223,10,1894,189.4,1,1,2,0,9,4,0,0,2,2,1,1.0,0.0036,0.0036,BENIGN,0
225,10,1542,154.2,1,1,2,0,9,4,0,0,2,2,1,1.0,0.0036,0.0036,BENIGN,0
227,10,1156,115.6,1,1,2,0,9,4,0,0,2,2,1,1.0,0.0036,0.0036,BENIGN,0
228,8,860,107.5,1,1,2,0,7,2,0,0,2,2,1,1.0,0.0046,0.0066,BENIGN,0
230,8,831,103.88,1,1,2,0,7,2,0,0,2,2,1,1.0,0.0046,0.0066,BENIGN,0
231,9,1569,174.33,1,1,2,0,8,3,0,0,2,2,1,1.0,0.004,0.005,BENIGN,0
232,9,1718,190.89,1,1,2,0,8,3,0,0,2,2,1,1.0,0.004,0.005,BENIGN,0
233,10,2342,234.2,1,1,2,0,9,4,0,0,2,2,1,1.0,0.0036,0.0036,BENIGN,0
235,8,647,80.88,1,1,2,0,7,2,0,0,2,2,1,1.0,0.0046,0.0066,BENIGN,0
236,9,1197,133.0,1,1,2,0,8,3,0,0,2,2,1,1.0,0.004,0.005,BENIGN,0
237,9,862,95.78,1,1,2,0,7,2,1,0,2,2,1,1.0,0.005,0.0063,BENIGN,0
238,10,2031,203.1,1,1,2,0,9,4,0,0,2,2,1,1.0,0.0036,0.0036,BENIGN,0
239,9,1215,135.0,1,1,2,0,7,2,1,0,3,2,1,1.0,0.005,0.0063,BENIGN,0
240,9,1048,116.44,1,1,2,0,8,3,0,0,2,2,1,1.0,0.004,0.005,BENIGN,0
242,9,1140,126.67,1,1,2,0,8,3,0,0,2,2,1,1.0,0.004,0.005,BENIGN,0
243,21,4349,207.1,2,2,4,0,18,8,1,0,3,3,2,1.0,0.0377,0.1479,BENIGN,0
244,9,1949,216.56,1,1,2,0,8,3,0,0,2,2,1,1.0,0.004,0.005,BENIGN,0
245,10,1521,152.1,1,1,2,0,9,4,0,0,2,2,1,1.0,0.0036,0.0036,BENIGN,0
247,9,2145,238.33,1,1,2,0,8,3,0,0,2,2,1,1.0,0.004,0.005,BENIGN,0
248,19,4111,216.37,2,2,4,0,17,7,0,0,3,3,2,1.0,0.0439,0.1656,BENIGN,0
250,73,12818,175.59,8,8,16,0,65,25,0,0,3,9,8,1.0,0.0098,0.0457,BENIGN,0
251,8,1060,132.5,1,1,2,0,7,2,0,0,2,2,1,1.0,0.0046,0.0066,BENIGN,0
252,14,1522,108.71,2,2,3,0,12,4,0,0,3,3,2,1.0,0.0033,0.0039,HTTP_ATTACK,1
253,24,2512,104.67,4,4,4,0,20,8,0,0,2,5,4,1.0,0.0356,0.0822,HTTP_ATTACK,1
254,32,3268,102.12,5,5,6,0,27,10,0,0,3,6,5,1.0,0.0262,0.0699,HTTP_ATTACK,1
255,27,3891,144.11,4,4,5,0,23,9,0,0,3,5,4,1.0,0.0227,0.0657,HTTP_ATTACK,1
256,28,3079,109.96,4,4,5,0,24,10,0,0,3,5,4,1.0,0.0272,0.0693,HTTP_ATTACK,1
257,9,1232,136.89,1,1,2,0,8,3,0,0,2,2,1,1.0,0.004,0.005,BENIGN,0
259,12,2565,213.75,2,2,2,0,10,4,0,0,2,3,2,1.0,0.0691,0.2081,BENIGN,0
260,14,3140,224.29,1,1,2,0,12,6,1,0,2,3,1,1.0,0.0758,0.2475,BENIGN,0
261,3,120,40.0,0,0,2,0,3,0,0,0,2,2,0,0.0,0.001,0.0,BENIGN,0
262,11,2108,191.64,1,1,2,0,9,4,1,0,2,2,1,1.0,0.004,0.0037,BENIGN,0
263,9,1746,194.0,1,1,2,0,8,3,0,0,2,2,1,1.0,0.004,0.005,BENIGN,0
265,9,698,77.56,1,1,2,0,7,2,1,0,2,2,1,1.0,0.005,0.0063,BENIGN,0
266,8,1095,136.88,1,1,2,0,7,2,0,0,2,2,1,1.0,0.0046,0.0066,BENIGN,0
267,10,1720,172.0,1,1,2,0,8,3,1,0,2,2,1,1.0,0.0044,0.0049,BENIGN,0
269,10,2061,206.1,1,1,2,0,9,4,0,0,2,2,1,1.0,0.0036,0.0036,BENIGN,0
270,10,1504,150.4,1,1,2,0,9,4,0,0,2,2,1,1.0,0.0036,0.0036,BENIGN,0
271,18,2688,149.33,2,2,4,0,16,6,0,0,2,3,2,1.0,0.0379,0.1357,BENIGN,0
272,8,1026,128.25,1,1,2,0,7,2,0,0,2,2,1,1.0,0.0046,0.0066,BENIGN,0
274,9,910,101.11,1,1,2,0,7,2,1,0,2,2,1,1.0,0.005,0.0063,BENIGN,0
275,10,2360,236.0,1,1,2,0,9,4,0,0,2,2,1,1.0,0.0036,0.0036,BENIGN,0
276,20,4159,207.95,2,2,4,0,18,8,0,0,2,3,2,1.0,0.0333,0.1261,BENIGN,0
277,10,1487,148.7,1,1,2,0,9,4,0,0,2,2,1,1.0,0.0036,0.0036,BENIGN,0
278,8,830,103.75,1,1,2,0,7,2,0,0,2,2,1,1.0,0.0046,0.0066,BENIGN,0
279,5,826,165.2,1,1,0,0,4,2,0,0,2,2,1,1.0,0.0025,0.0026,BENIGN,0
280,3,120,40.0,0,0,2,0,3,0,0,0,2,2,0,0.0,0.001,0.0,BENIGN,0
281,8,1047,130.88,1,1,2,0,7,2,0,0,2,2,1,1.0,0.0046,0.0066,BENIGN,0
282,9,1745,193.89,1,1,2,0,8,3,0,0,2,2,1,1.0,0.004,0.005,BENIGN,0
283,10,1114,111.4,1,1,2,0,9,4,0,0,2,2,1,1.0,0.0036,0.0036,BENIGN,0
284,17,2650,155.88,2,2,4,0,15,5,0,0,3,3,2,1.0,0.0418,0.1457,BENIGN,0
286,10,1958,195.8,1,1,2,0,8,3,1,0,2,2,1,1.0,0.0044,0.0049,BENIGN,0
287,18,1863,103.5,2,2,4,0,15,5,1,0,2,3,2,1.0,0.0427,0.1528,BENIGN,0
288,9,2040,226.67,1,1,2,0,8,3,0,0,2,2,1,1.0,0.004,0.005,BENIGN,0
289,9,1539,171.0,1,1,2,0,8,3,0,0,2,2,1,1.0,0.004,0.005,BENIGN,0
290,9,1173,130.33,1,1,2,0,8,3,0,0,2,2,1,1.0,0.004,0.005,BENIGN,0
291,8,1198,149.75,1,1,2,0,7,2,0,0,2,2,1,1.0,0.0046,0.0066,BENIGN,0
292,9,2086,231.78,1,1,2,0,8,3,0,0,2,2,1,1.0,0.004,0.005,BENIGN,0
294,19,3173,167.0,2,2,4,0,17,7,0,0,2,3,2,1.0,0.0474,0.1799,BENIGN,0
296,9,1141,126.78,1,1,2,0,8,3,0,0,2,2,1,1.0,0.004,0.005,BENIGN,0
297,5,1003,200.6,1,1,0,0,4,2,0,0,2,2,1,1.0,0.0025,0.0026,BENIGN,0
298,3,120,40.0,0,0,2,0,3,0,0,0,2,2,0,0.0,0.001,0.0,BENIGN,0
299,9,1638,182.0,1,1,2,0,8,3,0,0,2,2,1,1.0,0.004,0.005,BENIGN,0
300,9,1876,208.44,1,1,2,0,8,3,0,0,2,2,1,1.0,0.004,0.005,BENIGN,0
301,8,1102,137.75,1,1,2,0,7,2,0,0,2,2,1,1.0,0.0046,0.0066,BENIGN,0
303,130,67395,518.42,1,1,2,0,9,4,120,0,3,2,1,1.0,0.0076,0.0197,ICMP_FLOOD,1
304,176,93894,533.49,1,1,2,0,8,3,167,0,3,2,1,1.0,0.0057,0.0011,ICMP_FLOOD,1
305,185,95670,517.14,2,2,4,0,17,7,166,0,3,3,2,1.0,0.0054,0.0016,ICMP_FLOOD,1
306,59,28862,489.19,1,1,2,0,9,4,49,0,3,2,1,1.0,0.0155,0.0749,ICMP_FLOOD,1
308,18,1984,110.22,2,2,4,0,16,6,0,0,2,3,2,1.0,0.0425,0.1541,BENIGN,0
309,9,1065,118.33,1,1,2,0,7,2,1,0,2,2,1,1.0,0.005,0.0063,BENIGN,0
